CASO,month1,month2,month3,month4,days,n_memb_per_y,C3S,QC
TOTAL DONE,0,0,0,0,0,0,0,0
sps4_200205_001,1,1,1,1,1,0,0,0
sps4_200205_002,1,1,1,1,1,0,0,0
sps4_200205_003,1,1,1,1,1,0,0,0
sps4_200205_004,1,1,1,1,1,0,0,0
sps4_200205_005,1,1,1,1,1,0,0,0
sps4_200205_006,1,1,1,1,1,0,0,0
sps4_200205_007,1,1,1,1,1,0,0,0
sps4_200205_008,1,1,1,1,1,0,0,0
sps4_200205_009,1,1,1,1,1,0,0,0
sps4_200205_010,1,1,1,1,1,0,0,0
sps4_200205_011,1,1,1,1,1,0,0,0
sps4_200205_012,1,1,1,1,1,0,0,0
sps4_200205_013,1,1,1,1,1,0,0,0
sps4_200205_014,1,1,1,1,1,0,0,0
sps4_200205_015,1,1,1,1,1,0,0,0
sps4_200205_016,1,1,1,1,1,0,0,0
sps4_200205_017,1,1,1,1,1,0,0,0
sps4_200205_018,1,1,1,1,1,0,0,0
sps4_200205_019,1,1,1,1,1,0,0,0
sps4_200205_020,1,1,1,1,1,0,0,0
sps4_200205_021,1,1,1,1,1,0,0,0
sps4_200205_022,1,1,1,1,1,0,0,0
sps4_200205_023,1,1,1,1,1,0,0,0
sps4_200205_024,1,1,1,1,1,0,0,0
sps4_200205_025,1,1,1,1,1,0,0,0
sps4_200305_001,1,1,1,1,1,0,0,0
sps4_200305_002,1,1,1,1,1,0,0,0
sps4_200305_003,1,1,1,1,1,0,0,0
sps4_200305_004,1,1,1,1,1,0,0,0
sps4_200305_005,1,1,1,1,1,0,0,0
sps4_200305_006,1,1,1,1,1,0,0,0
sps4_200305_007,1,1,1,1,1,0,0,0
sps4_200305_008,1,1,1,1,1,0,0,0
sps4_200305_009,1,1,1,1,1,0,0,0
sps4_200305_010,1,1,1,1,1,0,0,0
sps4_200305_011,1,1,1,1,1,0,0,0
sps4_200305_012,1,1,1,1,1,0,0,0
sps4_200305_013,1,1,1,1,1,0,0,0
sps4_200305_014,1,1,1,1,1,0,0,0
sps4_200305_015,1,1,1,1,1,0,0,0
sps4_200305_016,1,1,1,1,1,0,0,0
sps4_200305_017,1,1,1,1,1,0,0,0
sps4_200305_018,1,1,1,1,1,0,0,0
sps4_200305_019,1,1,1,1,1,0,0,0
sps4_200305_020,1,1,1,1,1,0,0,0
sps4_200305_021,1,1,1,1,1,0,0,0
sps4_200305_022,1,1,1,1,1,0,0,0
sps4_200305_023,1,1,1,1,1,0,0,0
