start-date,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
199302,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199402,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199502,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199602,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199702,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199802,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199902,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200002,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200102,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200202,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200302,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200402,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200502,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200602,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200702,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200802,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200902,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201002,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201102,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201202,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201302,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201402,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201502,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201602,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201702,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201802,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201902,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202002,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202102,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
202202,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199304,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199404,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199504,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199604,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199704,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199804,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
199904,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200004,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200104,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200204,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200304,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200404,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200504,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200604,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200704,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200804,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
200904,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201004,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201104,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201204,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201304,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
201404,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
