CASO,LAST_JOBID,month1,month2,month3,month4,month5,month6,days,archive
sps4_199301_001,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_002,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_003,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_004,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_005,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_006,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_007,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_008,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_009,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_010,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_011,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_012,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_013,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_014,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_015,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_016,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_017,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_018,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_019,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_020,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_021,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_022,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_023,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_024,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_025,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_026,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_027,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_028,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_029,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_030,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_031,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_032,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_033,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_034,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_035,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_036,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_037,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_038,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_039,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199301_040,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_001,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_002,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_003,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_004,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_005,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_006,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_007,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_008,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_009,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_010,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_011,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_012,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_013,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_014,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_015,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_016,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_017,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_018,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_019,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_020,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_021,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_022,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_023,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_024,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_025,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_026,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_027,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_028,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_029,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_030,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_031,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_032,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_033,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_034,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_035,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_036,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
sps4_199401_037,job_id,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy
