Model Name,C3S Name,dimension,long_name,standard_name,units,frequency,level_type,modeling_realm,Arithmetic expr,coordinates,cell_methods,varflg,type
ICEFRAC,sic,leadtime lat lon,Sea Ice Area Fraction,sea_ice_area_fraction,1,day,surface,seaIce,1,reftime realization time leadtime lat lon,leadtime: point,0,h3
TS,ts,leadtime lat lon,Surface temperature,surface_temperature,K,3hr,surface,atmos,1,reftime realization time leadtime lat lon,leadtime: point,0,h4
CLDLOW,cll,leadtime lat lon,Low Cloud Cover Percentage,low_type_cloud_area_fraction,%,6hr,surface,atmos,1,reftime realization time leadtime lat lon,leadtime: point,0,h1
CLDTOT,clt,leadtime lat lon,Total Cloud Fraction,cloud_area_fraction,1,3hr,surface,atmos,1,reftime realization time leadtime lat lon,leadtime: point,0,h4
FSDS,albs,leadtime lat lon,Surface albedo,surface_albedo,1,day,surface,atmos,1,reftime realization time leadtime lat lon,leadtime: point,0,h3
OMEGA,wap,leadtime plev lat lon,Omega,lagrangian_tendency_of_air_pressure,Pa s-1,12hr,pressure,atmos,1,reftime realization time leadtime plev lat lon,leadtime: point,0,h2
PHIS,orog,lat lon,Surface Altitude,surface_altitude,m,fix,surface,atmos,1,lat lon,dummy,0,h0
LANDFRAC,sftlf,lat lon,Land Area Fraction,land_area_fraction,1,fix,surface,atmos,1,lat lon,dummy,0,h0
WSPDSRFMX,wsgmax,leadtime lat lon,Maximum Wind Speed of Gust,wind_speed_of_gust,m s-1,day,surface,atmos,1,reftime realization time leadtime height lat lon,leadtime: maximum (interval: 0.5 hour),0,h3
TAUX,tauu,leadtime lat lon,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,Pa,day,surface,atmos,-1,reftime realization time leadtime lat lon,leadtime: mean (interval: 0.5 hour),0,h3
TAUY,tauv,leadtime lat lon,Surface Downward Northward Wind Stress,surface_downward_northward_stress,Pa,day,surface,atmos,-1,reftime realization time leadtime lat lon,leadtime: mean (interval: 0.5 hour),0,h3
TREFMXAV,tasmax,leadtime lat lon,Daily Maximum Near-Surface Air Temperature,air_temperature,K,day,surface,atmos,1,reftime realization time leadtime height lat lon,leadtime: maximum (interval: 0.5 hour),0,h3
TREFMNAV,tasmin,leadtime lat lon,Daily Minimum Near-Surface Air Temperature,air_temperature,K,day,surface,atmos,1,reftime realization time leadtime height lat lon,leadtime: minimum (interval: 0.5 hour),0,h3
FSNTOA,rst,leadtime lat lon,TOA Net Shortwave Radiation,toa_net_downward_shortwave_flux,W m-2,day,surface,atmos,1,reftime realization time leadtime lat lon,leadtime: mean (interval: 0.5 hour),0,h3
FSNS,rss,leadtime lat lon,Net Shortwave Surface Radiation,surface_net_downward_shortwave_flux,W m-2,day,surface,atmos,1,reftime realization time leadtime lat lon,leadtime: mean (interval: 0.5 hour),0,h3
SOLIN,rsdt,leadtime lat lon,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,W m-2,day,surface,atmos,1,reftime realization time leadtime lat lon,leadtime: mean (interval: 0.5 hour),0,h3
