case;throughput [sim_y/day];cpl_comm_sec [sec];total_time_sec [sec];total_corehours [hr];hours_per_simmonth [hr]
sps4_202605_001;0,24;394,155;30545,774;2850,9264;8,3333
sps4_202605_001;0,27;9,358;1720,473;160,5744;7,4074
sps4_202605_001;0,25;380,730;30522,530;2848,7424;8,0000
sps4_202605_001;0,24;400,969;30654,205;2861,0400;8,3333
sps4_202605_001;0,20;583,587;35537,641;3316,8240;10,0000
sps4_202605_001;0,21;595,094;36579,593;3414,0624;9,5238
sps4_202605_001;0,20;634,424;37263,370;3477,9024;10,0000
sps4_202605_002;0,24;397,014;30608,387;2856,7728;8,3333
sps4_202605_002;0,32;4,747;1493,740;139,4064;6,2500
sps4_202605_002;0,25;386,456;29567,830;2759,6352;8,0000
sps4_202605_002;0,32;133,847;23389,640;2183,0256;6,2500
sps4_202605_002;0,21;541,612;35461,356;3309,7008;9,5238
sps4_202605_002;0,22;471,915;33172,672;3096,1056;9,0909
sps4_202605_002;0,21;631,170;36537,780;3410,1648;9,5238
sps4_202605_003;0,17;801,696;43722,348;4080,7200;11,7647
sps4_202605_003;0,24;398,231;30459,334;2842,8624;8,3333
sps4_202605_003;0,25;354,471;29509,855;2754,2256;8,0000
sps4_202605_003;0,26;304,398;28618,259;2671,0320;7,6923
sps4_202605_003;0,24;14,891;1837,220;171,4608;8,3333
sps4_202605_003;0,26;340,303;29150,408;2720,6928;7,6923
sps4_202605_003;0,20;562,351;36770,530;3431,9040;10,0000
sps4_202605_004;0,29;7,181;1614,419;150,6624;6,8965
sps4_202605_004;0,27;295,567;27664,074;2581,9584;7,4074
sps4_202605_004;0,17;771,081;42560,267;3972,2592;11,7647
sps4_202605_004;0,25;375,755;30298,971;2827,8768;8,0000
sps4_202605_004;0,22;516,312;34753,441;3243,6432;9,0909
sps4_202605_004;0,19;653,626;38755,863;3617,2080;10,5263
sps4_202605_004;0,23;465,466;32326,665;3017,1456;8,6956
sps4_202605_005;0,17;824,537;43152,928;4027,5984;11,7647
sps4_202605_005;0,32;4,824;1542,772;143,9760;6,2500
sps4_202605_005;0,21;571,065;34606,752;3229,9344;9,5238
